Title,Body,Labels,Milestone
Initialize repository with tooling,"Set up repo with pyproject.toml, ruff/black/mypy, pytest, .pre-commit-config.yaml.
Create basic folder scaffold and placeholder files.

**Acceptance Criteria**
- `poetry install` or `pip install -e .` works
- `pytest -q` runs with 0 failing tests (even if none yet)
- `pre-commit run --all-files` passes
- Folder structure created as per ARCHITECTURE plan

**Dependencies**
- None

**Notes**
Adopt Conventional Commits and semantic versioning.","type:infra,priority:P0,area:repo",M0: Repo & Foundations
Define project configuration system,"Decide between Hydra or YAML+dataclasses. Implement `core/config.py` to load structured configs,
plus a top-level `CONFIG.yaml` with example values.

**Acceptance Criteria**
- `core/config.py` loads configs with environment overrides
- A sample `CONFIG.yaml` exists (dev defaults)
- CLI scripts accept `--config` path

**Dependencies**
- Initialize repository with tooling","type:feature,priority:P1,area:core",M0: Repo & Foundations
Define data contracts & event types,"Create `core/types.py` with typed schemas: Tick, LOBSnapshot, FeatureVector, Signal, Decision, Order, Fill, RunMetadata.
Include `ts`, `instrument`, and `run_id` in appropriate types.

**Acceptance Criteria**
- Types defined with docstrings
- JSON-serializable pydantic/dataclasses models
- Version field for schema evolution

**Dependencies**
- Initialize repository with tooling","type:feature,priority:P0,area:core",M0: Repo & Foundations
Author ARCHITECTURE.md & PROTOCOL.md,"Write high-level system architecture and formalize event protocol (publish/consume contracts).

**Acceptance Criteria**
- `docs/ARCHITECTURE.md` and `docs/PROTOCOL.md` committed
- Dataflow diagram (Mermaid) included
- Clear module boundaries

**Dependencies**
- Define data contracts & event types","type:docs,priority:P1,area:docs",M0: Repo & Foundations
Set up Docker & Devcontainer,"Create Dockerfile and docker-compose for local stack. Optionally devcontainer config for VSCode.

**Acceptance Criteria**
- `docker build` succeeds
- `docker compose up` runs base services (API/UI stubs)
- Devcontainer opens with tooling ready

**Dependencies**
- Initialize repository with tooling","type:infra,priority:P1,area:infra",M0: Repo & Foundations
Implement synthetic LOB simulator,"Create `data/sources/synthetic_lob.py` generating deterministic, regime-switching LOB/tick streams.

**Acceptance Criteria**
- Seed parameter produces identical streams across runs
- Supports calm/volatile regimes with configurable switches
- Emits Tick/LOBSnapshot per protocol

**Dependencies**
- Define data contracts & event types","type:feature,priority:P0,area:ingestion",M1: Ingestion & Replay
Implement live crypto adapter (read-only),"Create `data/sources/live_binance.py` (or similar) for read-only price/ticker snapshots.
No keys required; ensure rate limits and graceful backoff.

**Acceptance Criteria**
- Adapter emits Tick events
- Handles network errors and retries
- Can be disabled via config

**Dependencies**
- Define data contracts & event types","type:feature,priority:P2,area:ingestion",M1: Ingestion & Replay
Build replay reader with event-clock,"Implement `data/replay/reader.py` to replay recorded Parquet/CSV streams with event-time control
(play/pause/seek, speed multiplier).

**Acceptance Criteria**
- Deterministic replay using recorded files
- CLI: `python scripts/run_replay.py --config CONFIG.yaml`
- Golden-file test for determinism

**Dependencies**
- Implement synthetic LOB simulator","type:feature,priority:P0,area:ingestion",M1: Ingestion & Replay
Ingestion unit tests & golden-file test,"Add tests for LOB simulator and replay reader. Create golden files to ensure deterministic output per seed.

**Acceptance Criteria**
- `tests/test_data.py` covers >90% lines in ingestion
- Golden-file regression test in CI

**Dependencies**
- Build replay reader with event-clock","type:test,priority:P0,area:ingestion",M1: Ingestion & Replay
Implement rolling statistics features,"Add `features/transforms.py` with rolling returns, EWMA volatility, z-scores, microstructure stats.

**Acceptance Criteria**
- Windowing API defined and tested
- Unit tests with synthetic series
- Stored in Parquet with schema

**Dependencies**
- Build replay reader with event-clock","type:feature,priority:P0,area:features",M2: Features & Graph
Order-imbalance & liquidity features,"Compute order-imbalance, spread, depth, VPIN-like proxy if available.

**Acceptance Criteria**
- Functions documented
- Benchmarks show per-event latency < target threshold
- Added to feature store

**Dependencies**
- Implement rolling statistics features","type:feature,priority:P1,area:features",M2: Features & Graph
